cohort,n,car_d1_4_bps,car_p,day5_bps,day5_p,day5_win_rate
BEAT + high inst. (the theory),31708,43.46578326268646,2.681983346760207e-24,1.7309327508627226,0.26010889945649596,0.49769774189478994
BEAT + low inst. (control),6305,46.01630734440896,5.382623691203537e-09,-2.443672617156533,0.2946914700570415,0.488659793814433
CRUSH + high inst.,34032,217.03396199510502,1.6402050396492465e-291,-0.6260355344204869,0.7692917275521317,0.49233074753173484
MISS + high inst.,24493,-215.82997676810757,2.174586261876189e-241,-1.0371580880540319,0.6295456121177431,0.483852529294084
All events + high inst.,101758,29.724295001353322,6.463009588934932e-19,0.05065205240189913,0.9718690046457007,0.4917451207767448
All events (universe),123007,27.611877066008013,5.370467938137778e-18,0.24381619753285194,0.858867329830629,0.49102896583121286
