day,n,mean_bps,median_bps,std_bps,win_rate,t_stat_naive,p_value_naive,p_binomial,n_clusters,t_stat,p_value,se_bps,ci_lo_bps,ci_hi_bps,car_mean_bps,car_p_value,p_holm,p_bh
1,14766,31.649474885455074,19.157328624435088,435.69291205381535,0.5328457266693756,8.827087792780661,1.1933704199477174e-18,1.4979082753458871e-15,3946,8.44288521997813,4.293826800502866e-17,3.7486563018248704,24.303618198718908,38.901702796340054,31.649474885455074,4.293826800502866e-17,4.293826800502866e-16,4.293826800502866e-16
2,14766,3.204603650099964,-0.37852358798273755,193.882158916638,0.4984423676012461,2.008481833928664,0.044610289390899206,0.7111429308437224,3946,1.7607115940054836,0.07836470073319514,1.8200616506475868,-0.2169643345138837,6.743632499430483,34.93099463216006,5.5038752825579745e-17,0.47018820439917086,0.15672940146639028
3,14766,4.128288231798649,0.49168905521979056,172.23694106632516,0.5018962481376135,2.9125617371288075,0.003590143257277066,0.6508257212478981,3946,2.5330082982615933,0.011347259463053514,1.629796568227549,0.8558750324663303,7.192788390134166,38.929532657696846,1.0788121359033926e-18,0.09077807570442811,0.03782419821017838
4,14766,3.166700534932735,-0.24252271088931465,157.9649787619513,0.49871326019233375,2.4360018514390553,0.01486235212441205,0.7607572623937431,3946,2.106786869744367,0.03519903796874961,1.503094869447794,0.21035327175101795,6.094927307972114,42.27754135213456,2.0846140755967917e-19,0.24639326578124726,0.08799759492187403
5,14766,1.8698879313333234,0.2710391335991602,156.2963505474968,0.5010158472165787,1.4537782700873347,0.14602904427235675,0.8113757909055407,3946,1.2187009240215914,0.2230305979300074,1.5343288041194554,-1.0740031451456968,4.7884787750071975,43.90436689787958,2.198898495549631e-19,0.6690917937900223,0.27878824741250924
6,14766,2.3286083023446835,1.0857955941701025,153.5018151272503,0.5039279425707707,1.843377822808007,0.06529389430304722,0.34395413753810594,3946,1.598360592532948,0.11004283331304836,1.4568729442049746,-0.5321847021165766,5.230725790306665,46.08152682894345,9.693106985568253e-20,0.5502141665652418,0.16707629424349424
7,14766,4.005499077625063,2.9237748474525427,154.35392978476796,0.5113774888256806,3.1533369311844868,0.0016173868672701168,0.005834251909038833,3946,2.7802843677652285,0.005456887531359117,1.4406796384085896,1.3083729830250639,6.683514519637013,49.90850025075308,1.2575899212273335e-21,0.04911198778223205,0.027284437656795585
8,14766,0.9682294106758408,-0.052712277565092336,153.923619296406,0.49952593796559663,0.7643714122499983,0.44465815513426793,0.914803497263689,3946,0.6434614492560317,0.5199621232291,1.5047201534688752,-1.890332909459478,3.764987149789444,51.022814137134844,5.9993416282330004e-21,1.0,0.5777356924767777
9,14766,2.1256331986766916,0.7875358418418799,147.7673418730239,0.5037924962752268,1.7479994649947257,0.08048490454539309,0.3609988858387853,3946,1.5680339704395057,0.11695340597044596,1.355604048604187,-0.4332447630795354,4.772920191079812,53.27411658060647,6.333214754563362e-21,0.5502141665652418,0.16707629424349424
10,14766,0.3794131049448445,-0.9235379355032602,154.21068685711086,0.49566571854259783,0.29897115406945834,0.7649662628993045,0.2959604429196961,3946,0.2743116696104963,0.7838594798403873,1.3831460596757876,-2.5216411007061112,3.112225603762556,53.801136808524106,2.1482635565690344e-20,1.0,0.7838594798403873
