cohort,n_dropped,pct_of_cohort,mean_drop_bps,day5_bps,day5_p,day5_ci_lo,day5_ci_hi,day5_win_rate,day6_bps,day7_bps
Beat + high inst. (the theory),14659,46.193357282410034,-396.3876161810433,3.8526059516492,0.03902425506877412,0.3448419741968948,7.329332509750018,0.4991472815335289,1.0175696124326783,1.7813920601872064
Beat + low inst. (control),2913,46.164817749603806,-363.7706359066023,1.5024516675600557,0.6602123542045419,-4.947091347630172,8.067995168109059,0.5025746652935118,6.042066486830877,-0.2693224758318056
Crush + high inst. (control),13200,38.75627587421827,-454.25513081213296,4.198982613034928,0.13345487269733447,-1.165720915951267,9.575023176840066,0.49257575757575756,3.518770947192343,3.9974107383652657
Miss + high inst. (control),21687,60.0931031616282,-529.7706925722409,0.7299472995131401,0.7364952412748623,-3.563751116803296,5.138426081261001,0.485221561304007,0.7832456621603662,4.976956414241133
