beat_min_pct,beat_max_pct,n,dip_bps,dip_p,pop_bps,pop_p,pop_win_rate,pop_p_bh
0.0,5.0,17158,2.0329276740053346,0.6899669817666464,1.326714423426476,0.42930313726981256,0.4983098263200839,0.7535063711953596
0.0,10.0,31708,43.46578326268643,2.681983346760207e-24,1.7309327508627246,0.26010889945649457,0.49769774189478994,0.7535063711953596
0.0,15.0,40755,61.10407381895982,5.438314554864956e-54,1.2709858328560744,0.3804154381325927,0.496405349036928,0.7535063711953596
0.0,20.0,46746,74.17511539397162,1.92671739705177e-84,0.9094694268083083,0.5251794849182997,0.49537928378898727,0.7535063711953596
0.0,25.0,50256,83.1832710055018,4.480863872290318e-105,0.9508694122267859,0.5056008255891214,0.49498567335243554,0.7535063711953596
0.0,30.0,53004,91.35418141344184,2.3780405911727395e-128,0.7420016291437996,0.6084865088097762,0.4948494453248811,0.7535063711953596
0.0,50.0,58679,108.770639304289,6.593467911714398e-175,0.6037552570673689,0.6870205149134161,0.4955094667598289,0.7535063711953596
1.0,5.0,15961,8.711831668106777,0.0940314342283992,1.6739231676457718,0.33902741256431007,0.49927949376605474,0.7535063711953596
1.0,10.0,30511,48.58515381066926,2.7157699227492256e-29,1.9284237575300047,0.2198820586683918,0.4981809839074432,0.7535063711953596
1.0,15.0,39558,65.58635676009342,5.6237574681172334e-61,1.4093925178141467,0.3385619600100261,0.49673896556954344,0.7535063711953596
1.0,20.0,45549,78.41134857912725,6.378828937223318e-93,1.020171231579703,0.4822094788751745,0.4956420558080309,0.7535063711953596
1.0,25.0,49059,87.33620823654307,4.422345526655351e-114,1.0546610159708112,0.46628277138322255,0.49522004117491186,0.7535063711953596
1.0,30.0,51807,95.47562305985947,1.4700085441054413e-137,0.8354619250831103,0.5694298348864815,0.4950682340224294,0.7535063711953596
1.0,50.0,57482,112.8478639567246,8.098917506436512e-185,0.6851097096673535,0.652000435197,0.4957203994293866,0.7535063711953596
2.0,5.0,12439,20.464925152030148,0.00035358900889702403,2.5317693311365352,0.18234189872329584,0.504381381139963,0.7535063711953596
2.0,10.0,26989,59.20542764195712,8.313680551492828e-39,2.3570094593060573,0.14733783672153802,0.5003890473896773,0.7535063711953596
2.0,15.0,36036,75.2019857760913,9.751215855002525e-74,1.679652021614642,0.26379056735942,0.4982517482517482,0.7535063711953596
2.0,20.0,42027,87.73103421948075,9.95609312570458e-108,1.2192868979093694,0.40929799020351143,0.4968472648535465,0.7535063711953596
2.0,25.0,45537,96.62781251703049,9.337180393364305e-130,1.2410963790703229,0.39931628496334776,0.49629971232184816,0.7535063711953596
2.0,30.0,48285,104.8321272149444,6.006161420388655e-154,0.9952980632493299,0.5057714951769876,0.49607538573055815,0.7535063711953596
2.0,50.0,53960,122.35423600207365,8.051790716805495e-203,0.818322226877539,0.5975489268640538,0.4966641957005189,0.7535063711953596
3.0,5.0,8103,35.01817458091026,6.171340145380804e-07,1.6738023820306733,0.4565479621903423,0.5031469825990373,0.7535063711953596
3.0,10.0,22653,71.82644026362043,1.0708676957447321e-47,2.01666314787438,0.24195258249481957,0.4991833311261202,0.7535063711953596
3.0,15.0,31700,86.4090796242978,6.802668470481745e-85,1.3437880833593814,0.3901321058204405,0.49709779179810726,0.7535063711953596
3.0,20.0,37691,98.59810670465444,5.3030841462786e-121,0.8838479331942435,0.5629655534334366,0.4957151574646467,0.7535063711953596
3.0,25.0,41201,107.50539460816559,6.026340355486272e-144,0.936529399900789,0.5370144494292897,0.4952064270284702,0.7535063711953596
3.0,30.0,43949,115.83900264480656,2.214586550779761e-169,0.6855243344690681,0.6559746839493326,0.4950283282896084,0.7535063711953596
3.0,50.0,49624,133.63339592404697,1.9125141711282917e-219,0.5285105866898915,0.7400522469840835,0.4957883282282766,0.7863055124205887
5.0,10.0,14550,92.32522904898129,2.4732410955758706e-52,2.2076047826256904,0.277158200740273,0.4969759450171821,0.7535063711953596
5.0,15.0,23597,104.05625950167918,7.2920983553357194e-93,1.230464107339825,0.47444905661518666,0.49502055346018564,0.7535063711953596
5.0,20.0,29588,116.01017206894736,9.4269662006725e-133,0.667510198338167,0.6852468271547069,0.4936798702176558,0.7535063711953596
5.0,25.0,33098,125.25160114272508,1.530113758218164e-158,0.7560313947585313,0.6419274054618406,0.4932624327753943,0.7535063711953596
5.0,30.0,35846,134.10857720826556,1.1776289349039707e-185,0.4621237592475176,0.7788560451187393,0.49319310383306364,0.8024577434556708
5.0,50.0,41521,152.8785764000335,8.61822127209074e-238,0.3050020146986971,0.8581673661273237,0.4943522554851762,0.8581673661273237
