bucket,n,dip_bps,dip_p,pop_bps,pop_p,pop_win_rate,pop_p_holm_battery,pop_p_bh_battery
sp400,11220,48.98048412132271,4.393985399735008e-12,1.3623444073446014,0.5706482816890222,0.4949197860962567,1.0,0.8905523433132861
sp500,14766,42.27754135213456,2.0846140755967917e-19,1.8698879313333234,0.2230305979300074,0.5010158472165787,1.0,0.8905523433132861
sp600,5722,35.718603328626756,0.0006143260213069598,2.0950972072493763,0.54700067934093,0.49458231387626705,1.0,0.8905523433132861
