bucket,n,dip_bps,dip_p,pop_bps,pop_p,pop_win_rate,median_value,pop_p_holm_battery,pop_p_bh_battery
<50%,630,59.363610528209094,0.03975716881392307,2.3257505483473953,0.7691153729174244,0.49523809523809526,0.42446,1.0,0.8905523433132861
50-60%,390,17.20958997881205,0.624136841675734,-18.681599374454816,0.08789667401581071,0.4512820512820513,0.57955,1.0,0.8905523433132861
60-70%,1573,57.93319900200335,0.0004720852433360632,-3.6357691887826267,0.4088012243735347,0.49396058486967576,0.66606003,1.0,0.8905523433132861
70-80%,3712,41.72766192129277,1.069147864063101e-05,-1.041942350926279,0.723512072847638,0.4892241379310345,0.76515,1.0,0.8905523433132861
80-90%,6995,54.13369492422528,3.1787436641912594e-16,3.485105384237228,0.11471440939402149,0.5043602573266619,0.85506,1.0,0.8905523433132861
>=90%,12531,39.70127116742177,1.3857677149322373e-12,2.032756690244666,0.29176082966773526,0.4986832655015561,0.9532,1.0,0.8905523433132861
