cohort,n_dropped,pct_of_cohort,mean_drop_bps,day5_bps,day5_p,day5_ci_lo,day5_ci_hi,day5_win_rate,day6_bps,day7_bps
Beat + high inst. (the theory),14696,46.30995147160774,-325.50441819710755,1.6044993664934581,0.3919770779324617,-1.9932945662087884,5.3522525913757075,0.49768644529123574,0.4585111656177918,4.419806997199681
Beat + low inst. (control),2936,46.52931854199683,-292.2092198654161,-2.6810756565885825,0.42680023150954033,-9.352919240169216,4.326559705292107,0.4928474114441417,7.9565456773999506,-1.2845798206194021
Crush + high inst. (control),12925,37.94885346017205,-361.9302452298404,0.4590116424400433,0.8664691698506176,-4.78825499930324,6.024681884216214,0.49446808510638296,3.7465355838394423,5.109686915172096
Miss + high inst. (control),21998,60.9548615921749,-442.902013422953,-1.6153306375326446,0.43210471741089085,-5.4713300148613335,2.3904217277655677,0.4823620329120829,0.7882666974993777,5.429395800116653
