cohort,n_dropped,pct_of_cohort,mean_drop_bps,day5_bps,day5_p,day5_ci_lo,day5_ci_hi,day5_win_rate,day6_bps,day7_bps
Beat + high inst. (the theory),14759,46.5084767126741,-415.0524883473102,4.39626439104968,0.01816051904306047,0.9644307369600652,7.9241323284141885,0.5030828646927299,2.478156123774983,3.2384865078899057
Beat + low inst. (control),2966,47.00475435816165,-375.0108187436711,2.874621638276246,0.3903768261065723,-3.7808342216050153,9.340933729864348,0.5043830074173972,4.673007506190768,1.6452748453499517
Crush + high inst. (control),13346,39.18494377403917,-480.5504602023302,3.412489899703647,0.22419622252048574,-2.0213989711136358,9.114431442457754,0.4932564064139068,3.5315501668856357,4.774959598150173
Miss + high inst. (control),21612,59.8852836044224,-556.2737780259791,0.7545774073367514,0.7261394573922251,-3.4092189176380217,4.989353997646181,0.4863964464186563,1.4489892218144436,5.4259703619368835
