beat_max_pct,n,car_d1_4_bps,car_p,day5_bps,day5_p,day5_win_rate
2.5,3716,-19.88335585679618,0.015078848503296544,1.9629058937785717,0.4289112399607073,0.4943487621097955
5.0,8524,12.238581922860844,0.02909106882970652,2.8294623755672617,0.11413925563927027,0.5036367902393243
7.5,12040,33.742925083726206,2.2222350998639997e-11,1.9785225910309931,0.21469329897283732,0.5014950166112957
10.0,14766,42.27754135213456,2.0846140755967917e-19,1.8698879313333234,0.2230305979300074,0.5010158472165787
15.0,18161,56.948969912145216,7.453932623396451e-39,1.0781140580457502,0.4509514294715892,0.4993667749573261
20.0,20133,66.99006376300088,4.502614918320389e-55,0.9056019113120787,0.5164021021658249,0.49769035911190584
30.0,21973,76.60351675260095,1.5597878664436264e-75,1.2375912443388273,0.37304480722392047,0.4974286624493697
